RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
538,FEMALE,2021,White,3211,3.79,3.9,4,ACT,710,680,0,,,A,1,N
539,MALE,2021,White,3107,3.33,3.5,4,ACT,610,610,1,C,2,C+,1,N
540,MALE,2021,White,3107,3.32,3.47,4,SAT,660,680,1,B+,3.3,B-,1,N
541,FEMALE,2021,White,3111,3.39,94.17,100,ACT,700,800,1,B-,2.7,B,1,N
542,MALE,2021,White,3111,3.1,4,4,SAT,660,600,1,B+,3.3,C+,1,N
543,MALE,2021,Hispanic,3107,2.88,0,0,SAT,620,560,1,A-,3.7,B+,1,N
544,FEMALE,2021,White,3107,3.26,3.9,4,ACT,630,600,1,B,3,B-,1,N
545,MALE,2021,White,3111,3.97,3.97,4,SAT,760,650,1,A,4,H,1,N
546,MALE,2021,,3213,3.73,3.19,4,ACT,460,490,0,,,,0,N
547,MALE,2021,NativeAmerican,3111,2.82,0,0,SAT,570,520,1,C,2,C+,1,N
548,FEMALE,2021,TwoOrMore,3111,3.62,4,4,SAT,680,630,1,A,4,A-,1,N
549,MALE,2022,TwoOrMore,3111,2.77,3.58,4,ACT,650,600,1,D,1,A-,1,N
550,MALE,2021,White,3111,3.43,3.8,4,SAT,670,620,1,D,1,C,1,N
551,FEMALE,2021,White,3111,3.38,3.9,4,SAT,620,740,1,C,2,A-,1,N
552,MALE,2021,White,3111,3.01,3.71,4.3,SAT,670,630,1,C+,2.3,C+,1,N
553,MALE,2021,White,3115,3.12,3.39,4,ACT,700,660,0,,,B+,1,N
554,MALE,2021,White,3115,3.73,3.92,4,SAT,640,730,0,,,A,1,N
555,FEMALE,2021,Hispanic,3111,3.19,3.92,4,SAT,660,660,1,B,3,B+,1,N
556,MALE,2021,White,3115,3.58,3.93,4,SAT,680,630,0,,,,0,N
557,MALE,2021,International Cadet,3111,3.11,3.94,4,ACT,600,680,1,B-,2.7,B+,1,N
