RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1576,Female,2025,TwoOrMore,3111,3.21,3.88,4,SAT,770,720,1,B,3,1
1577,Female,2025,Hispanic,3111,1.88,3.45,4,SAT,620,720,2,C-,1.7,1
1578,Male,2025,Hispanic,3107,3.26,3.69,4,SAT,650,690,1,B-,2.7,1
1579,Female,2025,White,3111,1.81,0,0,ACT,560,600,2,D,1,1
1580,Male,2025,Asian,3111,3.63,3.85,4,SAT,720,730,1,A,4,1
1581,Female,2025,White,3111,3.07,4,4,SAT,640,640,1,B,3,1
1582,FEMALE,2025,White,3111,2.85,95,100,SAT,660,690,1,C,2,1
1583,Male,2025,White,3111,3.02,3.95,4,SAT,720,630,1,A-,3.7,1
1584,Female,2025,White,3115,3.56,4,4,SAT,720,580,0,,,1
1585,Female,2025,Asian,3111,2.9,3.75,4,ACT,650,600,1,C+,2.3,1
1586,Male,2025,Asian,3111,3.86,3.97,4,SAT,770,690,1,A-,3.7,1
1587,Male,2025,White,3107,2.36,3.71,4,SAT,620,660,1,D,1,1
1588,Male,2025,White,3107,2.4,3.6,4,SAT,650,710,1,D,1,1
1589,Male,2025,Hispanic,3115,3.53,3.73,4,ACT,680,790,0,,,1
1590,Male,2025,White,3111,3.84,3.96,4,ACT,680,780,1,A,4,1
1591,Male,2025,White,3111,3.17,0,0,SAT,570,600,1,B-,2.7,1
1592,Male,2025,Hispanic,3111,3.07,3.67,4,SAT,710,640,1,B+,3.3,1
1593,Male,2025,White,3115,3.07,3.97,4,SAT,720,740,0,,,1
